Filename,Species
Alteromonas_1.fa,Alteromonas macleodii ATCC 27126
Alteromonas_2.fa,Alteromonas macleodii str. 'Balearic Sea AD45'
Alteromonas_3.fa,Alteromonas macleodii CUKW
Alteromonas_4.fa,Alteromonas macleodii KCC02
Vibrio_coralliilyticus_1.fa,Vibrio coralliilyticus OCN014
Vibrio_coralliilyticus_2.fa,Vibrio coralliilyticus RE98
Vibrio_coralliilyticus_3.fa,Vibrio coralliilyticus 58
Vibrio_coralliilyticus_4.fa,Vibrio coralliilyticus SNUTY-1
Vibrio_coralliilyticus_5.fa,Vibrio coralliilyticus RE22
Vibrio_alginolyticus_1.fa,Vibrio alginolyticus NBRC 15630 = ATCC 17749
Vibrio_alginolyticus_2.fa,Vibrio alginolyticus RM-24-2
Vibrio_alginolyticus_3.fa,Vibrio alginolyticus ATCC 33787
Vibrio_alginolyticus_4.fa,Vibrio alginolyticus ZJ-T
Vibrio_alginolyticus_5.fa,Vibrio alginolyticus K01M1
Vibrio_harveyi_1.fa,Vibrio harveyi ATCC 33843 (392 [MAV])
Vibrio_harveyi_2.fa,Vibrio harveyi ATCC 43516
Vibrio_harveyi_3.fa,Vibrio harveyi 345
Vibrio_harveyi_4.fa,Vibrio harveyi HENC-01
Vibrio_harveyi_5.fa,Vibrio harveyi AOD131
Roseobacter_denitrificans_1.fa,Roseobacter denitrificans OCh 114
Roseobacter_denitrificans_2.fa,Roseobacter denitrificans FDAARGOS_309
Roseobacter_denitrificans_3.fa,Roseobacter denitrificans DSM 7001
Marinovum_algicola_1.fa,Marinovum algicola DG 898
Marinovum_algicola_2.fa,Marinovum algicola CECT 5396
Marinovum_algicola_3.fa,Marinovum algicola FF3
Pseudoalteromonas_atlantica_T6c.fa,Pseudoalteromonas atlantica T6c
Ruegeria_TM1040.fa,Ruegeria TM1040 
